shipment_id,origin_country,origin_port,destination_country,destination_port,carrier,transport_mode,product_category,quantity,unit_value,total_value,weight_kg,volume_m3,departure_date,expected_arrival_date,actual_arrival_date,status,delay_days,delay_reason,weather_risk_score,geopolitical_risk_score,route_complexity_score,customs_clearance_time_hours,temperature_sensitive,hazmat,priority_level,supplier_id,customer_id,incoterm,insurance_value,transit_days_planned,transit_days_actual
SHP-2024-015,Turkey,Mersin,United Arab Emirates,Dubai,Arkas,Sea,Textiles,8000,18.50,148000,12000,89.2,2024-02-10,2024-02-18,2024-02-18,Delivered,0,,0.10,0.35,0.35,10,FALSE,FALSE,Low,SUP-TR-013,CUST-AE-024,CIF,163000,8,8
SHP-2024-016,Australia,Melbourne,China,Guangzhou,COSCO,Sea,Raw Materials,25000,6.20,155000,120000,580.4,2024-02-12,2024-03-05,2024-03-05,Delivered,0,,0.20,0.08,0.45,20,FALSE,FALSE,Low,SUP-AU-004,CUST-CH-091,FAS,171000,21,21
SHP-2024-017,United States,Houston,Brazil,Rio de Janeiro,CMA CGM,Sea,Machinery,1800,780.00,1404000,42000,195.8,2024-02-15,2024-03-12,2024-03-16,Delivered,4,Customs Inspection,0.25,0.20,0.50,48,FALSE,FALSE,High,SUP-US-067,CUST-BR-019,EXW,1544000,25,29
SHP-2024-018,Italy,Genoa,United States,Savannah,Evergreen,Sea,Food Products,5500,22.00,121000,18000,105.6,2024-02-18,2024-03-08,2024-03-10,Delivered,2,Port Congestion,0.30,0.08,0.45,22,TRUE,FALSE,Medium,SUP-IT-011,CUST-US-073,DAP,133000,18,20
SHP-2024-019,Malaysia,Port Klang,Germany,Bremerhaven,Hapag-Lloyd,Sea,Electronics,6500,78.50,510250,11000,76.8,2024-02-20,2024-03-18,2024-03-18,Delivered,0,,0.12,0.10,0.55,18,TRUE,FALSE,High,SUP-MY-008,CUST-DE-045,FOB,561000,26,26
SHP-2024-020,Chile,Valparaiso,South Korea,Busan,HMM,Sea,Minerals,30000,12.40,372000,180000,850.2,2024-02-22,2024-03-28,2024-04-02,Delivered,5,Equipment Shortage,0.40,0.08,0.60,24,FALSE,FALSE,Low,SUP-CL-001,CUST-KR-062,CFR,409000,34,39
SHP-2024-021,France,Le Havre,Canada,Montreal,Zim,Sea,Automotive Parts,2800,198.00,554400,16000,82.5,2024-02-25,2024-03-12,2024-03-12,Delivered,0,,0.15,0.05,0.35,14,FALSE,FALSE,Medium,SUP-FR-009,CUST-CA-028,CIF,610000,15,15
SHP-2024-022,Indonesia,Jakarta,India,Chennai,PIL,Sea,Textiles,11000,14.25,156750,16000,118.4,2024-02-28,2024-03-15,2024-03-18,Delivered,3,Monsoon Weather,0.60,0.15,0.40,28,FALSE,FALSE,Low,SUP-ID-007,CUST-IN-056,FOB,172000,15,18
SHP-2024-023,United Kingdom,Southampton,United States,Baltimore,Maersk,Sea,Pharmaceuticals,1500,445.00,667500,2200,16.8,2024-03-01,2024-03-15,2024-03-15,Delivered,0,,0.20,0.05,0.40,12,TRUE,FALSE,Critical,SUP-UK-015,CUST-US-087,DDP,734000,14,14
SHP-2024-024,China,Ningbo,Mexico,Manzanillo,COSCO,Sea,Electronics,9500,54.00,513000,13500,94.2,2024-03-05,2024-03-28,2024-04-05,Delivered,8,Panama Canal Delay,0.15,0.18,0.75,26,TRUE,FALSE,High,SUP-CH
